"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqs101800013m4","The Breakfast Burrito Club (S01, Ep4)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800015m4","Hugging the Now (S01, Ep6)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800016m4","Sydney, Australia (S01, Ep7)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800017m4","The Stan Wood Account (S01, Ep8)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800018m4","16 Inch Softball (S01, Ep9)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800019m4","Models Love Magic (S01, Ep10)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800030m4","The Monster (S01, Ep21)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800031m4","The Lighthouse (S01, Ep22)","Television",2013,"USA","Comedy",7.1,3.6,NA,"The Crazy Ones"
"sqs101800033m4","Red Hair and Silver Tape (S01, Ep2)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800034m4","Red Tide (S01, Ep3)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800035m4","Ladies in Red (S01, Ep4)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800036m4","Redwood (S01, Ep5)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800037m4","Red Handed (S01, Ep6)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800038m4","Seeing Red (S01, Ep7)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800039m4","Thin Red Line (S01, Ep8)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800040m4","Flame Red (S01, Ep9)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800041m4","Red Brick and Ivy (S01, Ep10)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800042m4","Red John's Friends (S01, Ep11)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800043m4","Red Rum (S01, Ep12)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800044m4","Paint It Red (S01, Ep13)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800047m4","Bloodshot (S01, Ep16)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800048m4","Carnelian Inc. (S01, Ep17)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800051m4","Red Sauce (S01, Ep20)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800052m4","Miss Red (S01, Ep21)","Television",2008,"USA","Drama",8.1,4.1,NA,"The Mentalist"
"sqs101800060m4","Robbin' Season: Sportin' Waves (Ep2)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800061m4","Robbin' Season: Money Bag Shawty (Ep3)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800062m4","Robbin' Season: Helen (Ep4)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800063m4","Robbin' Season: Barbershop (Ep5)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800064m4","Robbin' Season: Teddy Perkins (Ep6)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800065m4","Robbin' Season: Champagne Papi (Ep7)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800066m4","Robbin' Season: Woods (Ep8)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800067m4","Robbin' Season: North of the Border (Ep9)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800068m4","Robbin' Season: Fubu (Ep10)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800069m4","Robbin' Season: Crabs in a Barrel (Ep11)","Television",2018,"USA","Comedy",8.5,4.3,NA,"Atlanta S02"
"sqs101800213m4","Progress of War (Ep4)","Television",2017,"USA","History",6.8,3.4,NA,"Origins: The Journey of Humankind"
"sqs101800214m4","Building the Future (Ep5)","Television",2017,"USA","History",6.8,3.4,NA,"Origins: The Journey of Humankind"
"sqs101800215m4","Into the Unknown (Ep6)","Television",2017,"USA","History",6.8,3.4,NA,"Origins: The Journey of Humankind"
"sqs101800216m4","The Road Ahead (Ep7)","Television",2017,"USA","History",6.8,3.4,NA,"Origins: The Journey of Humankind"
"sqs101800217m4","The Writing On the Wall (Ep8)","Television",2017,"USA","History",6.8,3.4,NA,"Origins: The Journey of Humankind"
"sqs101800174m4","Ep 9 Legend of Fuyao","Television",2018,"CHN","Drama",0,3.9,NA,"Legend of Fuyao 扶摇"
"sqs101800249m4","Ep 6 QI","Television",2017,"GBR","Variety & Game Shows",8.6,4.3,NA,"QI S15"
"sqs101800252m4","Dan and Brett (Ep1)","Television",2018,"GBR","Reality",0,4.2,NA,"The Secret Helpers"
"sqs111800122m4","Ep 27 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800123m4","Ep 28 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800124m4","Ep 29 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800125m4","Ep 30 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800126m4","Ep 31 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800127m4","Ep 32 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800128m4","Ep 33 Deep in the Realm of Conscience","Television",2018,"HKG","Drama",7,3.5,NA,"Deep in the Realm of Conscience 宮心計2深宫计"
"sqs111800012m4","The Elephant in the Room (S01, Ep2)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800013m4","Raisin Balls and Wedding Bells (S01, Ep3)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800014m4","Sweet Melissa (S01, Ep4)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800015m4","Dunk the Skunk (S01, Ep5)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800016m4","Some Friggin' Fat Dude (S01, Ep6)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800017m4","She Drives Me Crazy (S01, Ep7)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800019m4","The Do-Over (S01, Ep9)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800021m4","Moved to Tampa (S01, Ep11)","Television",2015,"USA","Comedy",7.4,3.7,NA,"The Last Man on Earth"
"sqs111800052m4","309 (S01, Ep4)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs111800053m4","The Commune (S01, Ep5)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs111800054m4","Vagabond Hotel (S01, Ep6)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs111800055m4","Euphoria (S01, Ep7)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs111800056m4","Marfa (S01, Ep8)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs111800057m4","Neverland (S01, Ep9)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs111800058m4","Black Barn (S01, Ep10)","Television",2017,"USA","Drama",7,3.5,NA,"Gypsy"
"sqs061800040m4","Sympathy For The Devil (S01, Ep3)","Television",2010,"USA","Drama",7.6,3.8,NA,"Rizzoli & Isles"
"sqs061800003m4","Witch (S01, Ep3)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800004m4","Teacher's Pet (S01, Ep4)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800005m4","Never Kill a Boy On the First Date (S01, Ep5)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
"sqs061800006m4","The Pack (S01, Ep6)","Television",1997,"USA","Drama",8.2,4.1,NA,"Buffy the Vampire Slayer"
