"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","tconst","parentTitle"
"sqm091800216m4","Tchaikovsky: Pique Dame","Movie",2016,"DEU","Arts, Music & Culture",0,4,NA,"Tchaikovsky: Pique Dame"
"sqm091800217m4","Pablo Picasso at Pompeii – Parade & Pulcinella","Movie",2017,"SPA","Arts, Music & Culture",0,4,NA,"Pablo Picasso at Pompeii – Parade & Pulcinella"
"sqm091800218m4","The Biggest Weekend Part 1 - Ed Sheeran , Chvrches, Shawn Mendes…","Movie",2018,"GBR","Arts, Music & Culture",7,3.5,NA,"The Biggest Weekend Part 1 - Ed Sheeran , Chvrches, Shawn Mendes…"
"sqm091800219m4","The Biggest Weekend Part 2 - Sam Smith, Demi Lovato, Beck, 30 Seconds To Mars, Camila Cabello","Movie",2018,"GBR","Arts, Music & Culture",7,3.5,NA,"The Biggest Weekend Part 2 - Sam Smith, Demi Lovato, Beck, 30 Seconds To Mars, Camila Cabello"
"sqm091800220m4","Golden Melody Awards 2018金曲獎GMA","Movie",2018,"TAI","Arts, Music & Culture",0,0,NA,"Golden Melody Awards 2018金曲獎GMA"
"sqm101800272m4","2018 hito流行音樂頒獎 2018 hito Music Awards","Movie",2018,"TWN","Arts, Music & Culture",0,4,NA,"2018 hito流行音樂頒獎 2018 hito Music Awards"
"sqm101800273m4","The Isle of Wight 2018","Movie",2018,"GBR","Arts, Music & Culture",0,4,NA,"The Isle of Wight 2018"
"sqm111800180m4","Andrew Litton & SSO: Beethoven Triple Concerto in C","Movie",2017,"SGP","Arts, Music & Culture",0,4,NA,"Andrew Litton & SSO: Beethoven Triple Concerto in C"
"sqm111800181m4","Landmarks Live in Concert - The Foo Fighters: The Acropolis / Athens, Greece","Movie",2017,"GBR","Arts, Music & Culture",0,4.2,NA,"Landmarks Live in Concert - The Foo Fighters: The Acropolis / Athens, Greece"
"sqm121800032m4","The Magic Tuche","Movie",NA,NA,NA,NA,NA,NA,"The Magic Tuche"
"sqm121800037m4","The Best Summer of My Life","Movie",NA,NA,NA,NA,NA,NA,"The Best Summer of My Life"
"sqm071800025m4","Doraemon the Movie: Nobita’s Treasure Island","Movie",2018,"JPN","Animation",0,0,NA,"Doraemon the Movie: Nobita’s Treasure Island"
"sqm071800038m4","Billu Rakkhosh","Movie",2017,"IND","Drama",7.1,3.6,NA,"Billu Rakkhosh"
"sqm071800041m4","Fein Albi","Movie",2017,"EGY","Comedy",0,0,NA,"Fein Albi"
"sqm081800026m4","Crayon Shinchan the movie: Bakumori! Kung Fu Boys -Ramen Panic-","Movie",2018,"JPN","Comedy",0,0,NA,"Crayon Shinchan the movie: Bakumori! Kung Fu Boys -Ramen Panic-"
"sqm081800078m4","15 Shorts","Movie",NA,"SGP","Drama",0,0,NA,"15 Shorts"
"sqm091800019m4","Put Grandma in the Freezer","Movie",2018,"ITA","Comedy",6.2,3.1,NA,"Put Grandma in the Freezer"
"sqm091800020m4","Hopelessly Devout","Movie",2018,"ESP","Comedy",7.1,3.6,NA,"Hopelessly Devout"
"sqm101800018m4","Cloud Whispers","Movie",2018,"DEU","Drama",6,3,NA,"Cloud Whispers"
"sqm101800022m4","Playing Fiancé","Movie",2018,"POL","Comedy",5,2.5,NA,"Playing Fiancé"
"sqm101800048m4","Bath Moubacher","Movie",2017,"EGY","Comedy",0,0,NA,"Bath Moubacher"
"sqm101800071m4","Go For It! India (Chak De India!)","Movie",2007,"IND","Drama",8.2,4.1,NA,"Go For It! India (Chak De India!)"
"sqm111800021m4","From Ufa with Love","Movie",2018,"RUS","Comedy",6.6,3.3,NA,"From Ufa with Love"
"sqm111800043m4","Al Kenz","Movie",2017,"EGY","Action",7.3,3.7,NA,"Al Kenz"
"sqm121800044m4","Monkey King Reloaded","Movie",NA,NA,NA,NA,NA,NA,"Monkey King Reloaded"
"sqm081800018m4","London Love Story 2","Movie",2017,"IDN","Drama",0,0,NA,"London Love Story 2"
"sqm081800021m4","A Beautiful Moment","Movie",2018,"HKG","Comedy",7.1,3.6,NA,"A Beautiful Moment"
"sqm081800034m4","Omok Girl","Movie",2018,"KOR","Drama",0,0,NA,"Omok Girl"
"sqm101800021m4","Going Vertical","Movie",2017,"RUS","Drama",6.7,3.4,NA,"Going Vertical"
