"uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore"
"sqm111800017m4","303","Movie",2018,"DEU","Drama","8.00","4.00"
"sqm111800018m4","Jim Button and Luke the Engine Driver","Movie",2018,"DEU","Family","6.70","3.40"
"sqm111800019m4","Dogman","Movie",2018,"ITA","Drama","7.70","3.90"
"sqm111800020m4","Sara's Notebook","Movie",2018,"ESP","Thriller","6.00","3.00"
"sqm111800021m4","From Ufa with Love","Movie",2018,"RUS","Comedy","6.60","3.30"
"sqm111800022m4","The Guilty","Movie",2018,"Denmark","Thriller","7.90","4.00"
"sqm111800023m4","About Youth","Movie",2018,"TWN","Romance","0.00","0.00"
"sqm111800024m4","Animal World","Movie",2018,"CHN","Action","6.50","3.30"
"sqm111800025m4","Detective Dee: The Four Heavenly Kings","Movie",2018,"CHN","Action","6.40","3.20"
"sqm111800026m4","Forever Young","Movie",2018,"CHN","Drama","6.40","3.20"
"sqm111800027m4","Lobster Cop","Movie",2018,"CHN","Comedy","4.80","2.40"
"sqm111800028m4","The Forest of Wool and Steel","Movie",2018,"JPN","Drama","6.70","3.40"
"sqm111800029m4","Flea-picking Samurai","Movie",2018,"JPN","Comedy","6.90","3.50"
"sqm111800030m4","One Cut of the Dead","Movie",2017,"JPN","Comedy","7.90","4.00"
"sqm111800031m4","Shoplifters","Movie",2018,"JPN","Drama","8.10","4.10"
"sqm111800032m4","Angrezi Mein Kehte Hain","Movie",2018,"IND","Drama","7.00","3.50"
"sqm111800033m4","Tumhari Sulu","Movie",2017,"IND","Comedy","7.00","3.50"
"sqm111800034m4","Bhaskar Oru Rascal","Movie",2018,"IND","Action","4.50","2.30"
"sqm111800035m4","Thiruttu Payale 2","Movie",2017,"IND","Thriller","6.80","3.40"
"sqm111800036m4","Agnyaathavaasi","Movie",2018,"IND","Action","5.10","2.60"
"sqm111800037m4","Bimba Devi alias Yashodhara","Movie",2018,"LKA","Drama","8.50","4.30"
"sqm111800038m4","Monkey Baat","Movie",2018,"IND","Family","0.00","0.00"
"sqm111800039m4","Ranangan","Movie",2018,"IND","Drama","5.50","2.80"
"sqm111800040m4","The Spy Gone North","Movie",2018,"KOR","Drama","6.50","3.30"
"sqm111800041m4","Love+Sling","Movie",2018,"KOR","Comedy","6.80","3.40"
"sqm111800042m4","Sid & Aya: Not A Love Story","Movie",2018,"PHL","Drama","7.80","3.90"
"sqm111800043m4","Al Kenz","Movie",2017,"EGY","Action","7.30","3.70"
"sqm111800044m4","The Spongebob Movie: Sponge Out of Water","Movie",2015,"USA","Family","6.00","3.00"
"sqm111800045m4","Frankenweenie","Movie",2012,"USA","Family","7.00","3.50"
"sqm111800046m4","Hercules","Movie",1997,"USA","Family","7.30","3.70"
"sqm111800047m4","Nanny McPhee","Movie",2005,"USA","Family","6.60","3.30"
"sqm111800048m4","Ant-Man","Movie",2015,"USA","Action","7.30","3.70"
"sqm111800049m4","Mission: Impossible - Ghost Protocol","Movie",2011,"USA","Action","7.40","3.70"
"sqm111800050m4","Mission: Impossible - Rogue Nation","Movie",2015,"USA","Action","7.40","3.70"
"sqm111800051m4","The Equalizer","Movie",2014,"USA","Action","7.20","3.60"
"sqm111800052m4","Sicario","Movie",2015,"USA","Action","7.60","3.80"
"sqm111800053m4","Mamma Mia!","Movie",2008,"USA","Comedy","6.40","3.20"
"sqm111800054m4","Begin Again","Movie",2013,"USA","Drama","7.40","3.70"
"sqm111800055m4","Fences","Movie",2016,"USA","Drama","7.20","3.60"
"sqm111800056m4","Erin Brockovich","Movie",2000,"USA","Drama","7.30","3.70"
"sqm111800057m4","The Immigrant","Movie",2013,"USA","Drama","6.60","3.30"
"sqm111800058m4","The Big Short","Movie",2015,"USA","Drama","7.80","3.90"
"sqm111800059m4","The Lady in the Van","Movie",2015,"GBR","Drama","6.70","3.40"
"sqm111800060m4","Gigi (1958)","Movie",1958,"USA","Comedy","6.80","3.40"
"sqm111800061m4","On the Waterfront (1954)","Movie",1954,"USA","Drama","8.20","4.10"
"sqm111800062m4","From Here to Eternity (1953)","Movie",1953,"USA","Drama","7.70","3.90"
"sqm111800063m4","So Young","Movie",2013,"CHN","Drama","6.40","3.20"
"sqm111800064m4","The Magic Hour","Movie",NA,"JPN","Comedy","7.20","3.60"
"sqm111800065m4","A Ghost of a Chance","Movie",2011,"JPN","Comedy","7.10","3.60"
"sqm111800066m4","Paprika","Movie",2006,"JPN","Animation","7.70","3.90"
"sqm111800067m4","Mother","Movie",2009,"KOR","Thriller","7.80","3.90"
"sqm111800068m4","Queen of Walking","Movie",2016,"KOR","Comedy","6.40","3.20"
"sqm111800069m4","My Love Sinema","Movie",2016,"SGP","Drama","6.50","3.30"
"sqm111800070m4","My Magic","Movie",2008,"SGP","Drama","6.40","3.20"
"sqm111800071m4","Mystic River","Movie",2010,"USA","Drama","7.20","3.60"
"sqm111800072m4","Tombstone for Fireflies","Movie",NA,"JPN","Animation","0.00","0.00"
"sqm111800073m4","Half the Picture","Movie",2018,"USA","Documentary","6.90","3.50"
"sqm111800074m4","Strokes of Genius","Movie",2018,"USA","Documentary","8.00","4.00"
"sqm111800075m4","All the Wild Horses","Movie",2017,"MNG","Documentary","8.60","4.30"
"sqm111800081m4","An American in Paris: The Musical","Movie",2018,"GBR","Musical","8.10","4.10"
"sqm111800180m4","Andrew Litton & SSO: Beethoven Triple Concerto in C","Movie",2017,"SGP","Arts, Music & Culture","0.00","4.00"
"sqm111800181m4","Landmarks Live in Concert - The Foo Fighters: The Acropolis / Athens, Greece","Movie",2017,"GBR","Arts, Music & Culture","0.00","4.20"
