"","uniqueID","mediaTitle","category","year","countryOrigin","genre","peopleScore","criticScore","imdbID","runtimeMinutes","imdbRating","imdbVotes","oCountry"
"59","sqm081800015m4","A Jar Full of Life","Movie",2018,"DEU","Comedy",4.8,2.4,"tt7333070",95,4.9,157,"DEU"
"60","sqm081800016m4","Back Home","Movie",2018,"ITA","Comedy",5,2.5,"tt6597246",103,5.4,243,"ITA"
"61","sqm081800017m4","Road to Mars","Movie",2017,"MEX","Comedy",5.5,2.8,"tt5164446",93,5.6,653,"MEX"
"62","sqm081800020m4","Furious","Movie",2017,"RUS","Action",6.3,3.2,"tt6054874",107,6.3,1948,"RUS"
"63","sqm081800022m4","Concerto of the Bully","Movie",2018,"HKG","Comedy",6.7,3.4,"tt7762772",96,6.2,106,"HKG"
"64","sqm081800023m4","Detective Chinatown 2","Movie",2018,"CHN","Comedy",6.2,3.1,"tt7752454",121,6.1,1160,"CHN"
"65","sqm081800024m4","A House of Happiness","Movie",2018,"MYS","Comedy",0,0,"tt8088086",99,7,7,"MYS"
"66","sqm081800028m4","Last Hold!","Movie",2018,"JPN","Drama",0,0,"tt7014382",90,4.9,8,"JPN"
"67","sqm081800029m4","Marmalade Boy","Movie",2018,"JPN","Drama",0,0,"tt7286500",NA,6.1,103,"JPN"
"68","sqm081800030m4","Summer Blooms","Movie",2017,"JPN","Drama",4.5,2.3,"tt7085058",93,5,34,"JPN"
"69","sqm081800031m4","Golden Slumber","Movie",2018,"KOR","Action",0,0,"tt6485776",108,5.9,343,"KOR"
"70","sqm081800032m4","The Princess and the Matchmaker","Movie",2018,"KOR","Epic",0,0,"tt5961314",110,6.3,214,"KOR"
"71","sqm081800035m4","102 Not Out","Movie",2018,"IND","Comedy",7.6,3.8,"tt6580564",102,7.5,4537,"IND"
"72","sqm081800036m4","Blackmail","Movie",2018,"IND","Action",7.2,3.6,"tt6972140",138,7,6182,"IND"
"73","sqm081800037m4","Lucknow Central","Movie",2017,"IND","Action",6.1,3.1,"tt5697870",133,6.1,2143,"IND"
"74","sqm081800038m4","Tiger Zinda Hai","Movie",2017,"IND","Action",6.3,3.2,"tt5956100",161,6.1,18242,"IND"
"75","sqm081800039m4","Aruvi","Movie",2016,"IND","Drama",9,4.5,"tt5867800",130,8.8,7870,"IND"
"76","sqm081800040m4","8969","Movie",2016,"PAK","Thriller",7.8,3.9,"tt4024858",147,7.7,34,"PAK"
"77","sqm081800041m4","College Kumar","Movie",2017,"IND","Comedy",7.4,3.7,"tt6840738",141,7.5,68,"IND"
"78","sqm081800042m4","Malli Raava","Movie",2017,"IND","Drama",8.2,4.1,"tt7684228",129,8.3,660,"IND"
"79","sqm081800044m4","Ramaleela","Movie",2017,"IND","Drama",7.5,3.8,"tt6104268",158,7.3,1593,"IND"
"80","sqm081800045m4","Whispering Sands","Movie",2018,"TUN","Drama",8.4,4.2,"tt6118442",95,8.3,20,"TUN"
"81","sqm081800079m4","Ah Boys to Men 4","Movie",2017,"SGP","Action",5.5,2.8,"tt7469978",135,5.2,147,"SGP"
"82","sqm091800001h7","Deadpool 2","Movie",2018,"USA","Action",8.1,4.1,"tt5463162",119,7.8,348735,"USA"
"83","sqm091800002h7","Solo: A Star Wars Story","Movie",2018,"USA","Action",7.2,3.6,"tt3778644",135,7,204796,"USA"
"84","sqm091800003h7","I Feel Pretty","Movie",2018,"USA","Comedy",4.8,2.4,"tt6791096",110,5.4,34568,"CHN"
"85","sqm091800004m4","Mary and the Witch's Flower","Movie",2017,"JPN","Family",6.8,3.4,"tt6336356",103,6.8,7581,"JPN"
"86","sqm091800005m4","American Animals","Movie",2018,"GBR","Drama",7.6,3.8,"tt6212478",116,7,25532,"GBR"
"87","sqm091800006m4","The Seagull","Movie",2018,"USA","Drama",6.1,3.1,"tt4682136",98,5.8,1449,"USA"
"88","sqm091800007m4","Life of the Party","Movie",2018,"USA","Comedy",5.5,2.8,"tt5619332",105,5.5,22291,"USA"
"89","sqm091800008m4","Beast","Movie",2018,"GBR","Drama",7.1,3.6,"tt6463468",60,5.7,13,"USA"
"90","sqm091800013m4","White Fang","Movie",2018,"FRA","Animation",6.3,3.2,"tt5222768",85,7,1637,"FRA"
"91","sqm091800014m4","Taxi 5","Movie",2018,"FRA","Action",5.3,2.7,"tt7238392",102,4.7,5321,"FRA"
"92","sqm091800015m4","Place publique","Movie",2018,"FRA","Comedy",6.2,3.1,"tt6972372",98,6,468,"FRA"
"93","sqm091800016m4","Rolling to You","Movie",2018,"FRA","Comedy",5.9,3,"tt6838702",107,6.5,2399,"FRA"
"94","sqm091800017m4","This Crazy Heart","Movie",2017,"DEU","Comedy",6.6,3.3,"tt6175820",104,7.1,1136,"DEU"
"95","sqm091800021m4","Strawberry Days","Movie",2017,"SWE","Drama",6.6,3.3,"tt4898602",93,6.5,218,"SWE"
"96","sqm091800023m4","Dude's Manual","Movie",2018,"CHN","Comedy",6.5,3.3,"tt8319694",105,2.4,69,"CHN"
"97","sqm091800024m4","The Faces of My Gene","Movie",2018,"CHN","Drama",7.3,3.7,"tt8443556",95,4.8,52,"CHN"
"98","sqm091800026m4","The Leakers","Movie",2018,"HKG","Action",5.1,2.6,"tt8490838",103,5.4,298,"HKG"
"99","sqm091800027m4","50 First Kisses","Movie",2017,"JPN","Comedy",6.6,3.3,"tt6916872",114,6.4,189,"JPN"
"100","sqm091800028m4","My Little Monster","Movie",2018,"JPN","Comedy",8.5,4.3,"tt6893370",NA,7.1,95,"JPN"
"101","sqm091800030m4","What a Wonderful Family! 3: My Wife, My Life","Movie",2018,"JPN","Comedy",7.2,3.6,"tt7493808",123,7.1,124,"JPN"
"102","sqm091800032m4","Home","Movie",2018,"KOR","Drama",0,0,"tt8601408",71,9,24,"HRV"
"103","sqm091800033m4","Unexpectedly Yours","Movie",2017,"PHL","Comedy",7.4,3.7,"tt7686876",120,6.7,105,"PHL"
"104","sqm091800034m4","Tazzeka","Movie",2018,"FRA","Comedy",0,0,"tt5227512",95,7.7,19,"FRA"
"105","sqm091800037m4","Shaadi Mein Zaroor Aana","Movie",2017,"IND","Family",7.9,4,"tt7469726",137,7.7,8957,"IND"
"106","sqm091800039m4","Chitthi","Movie",2018,"IND","Comedy",8.6,4.3,"tt7848100",102,8.1,21,"IND"
"107","sqm091800040m4","Haami","Movie",2018,"IND","Drama",8.4,4.2,"tt8364356",133,8.1,540,"IND"
"108","sqm091800041m4","Punjab Singh","Movie",2018,"IND","Drama",6.7,3.4,"tt7860284",150,6.1,13,"IND"
"109","sqm091800077m4","Get Out","Movie",2017,"USA","Thriller",7.7,3.9,"tt5052448",104,7.7,368432,"JPN"
"110","sqm091800078m4","The Hurt Locker","Movie",2008,"USA","Action/Drama",7.6,3.8,"tt0887912",131,7.6,386750,"USA"
"111","sqm091800079m4","Seven Pounds","Movie",2008,"USA","Drama",7.6,3.8,"tt0814314",123,7.6,265003,"USA"
"112","sqm091800080m4","October Sky","Movie",1999,"USA","Family",7.8,3.9,"tt0132477",108,7.8,74145,"USA"
"113","sqm091800081m4","Into the Wild","Movie",2007,"USA","Drama",8.1,4.1,"tt0758758",148,8.1,517041,"USA"
"114","sqm101800001m4","Jurassic World: Fallen Kingdom","Movie",2018,"USA","Action",6.6,3.3,"tt4881806",128,6.2,198212,"USA"
"115","sqm101800006m4","Uncle Drew","Movie",2018,"USA","Comedy",5.7,2.9,"tt7334528",103,5.7,8305,"USA"
"116","sqm101800007m4","Annihilation","Movie",2018,"USA","Thriller",7,3.5,"tt2798920",115,6.9,211773,"GBR"
"117","sqm101800008m4","Leave No Trace","Movie",2018,"USA","Drama",7.7,3.9,"tt3892172",109,7.2,27810,"USA"
"118","sqm101800010m4","Hearts Beat Loud","Movie",2018,"USA","Drama",7.1,3.6,"tt7158430",97,6.9,5399,"USA"
"119","sqm101800011m4","The Catcher Was a Spy","Movie",2018,"USA","Drama",6,3,"tt4602066",98,6.1,3786,"USA"
"120","sqm101800013m4","The Guernsey Literary and Potato Peel Pie Society","Movie",2018,"GBR","Drama",7.1,3.6,"tt1289403",124,7.4,19642,"GBR"
"121","sqm101800014m4","The Mercy","Movie",2018,"GBR","Drama",6,3,"tt3319730",112,6,4738,"GBR"
"122","sqm101800015m4","At War","Movie",2018,"FRA","Drama",6.8,3.4,"tt7555774",113,7,650,"FRA"
"123","sqm101800016m4","Keep an Eye Out","Movie",2018,"FRA","Comedy",6.9,3.5,"tt7156222",73,6.8,1573,"FRA"
"124","sqm101800017m4","Mr. Know-It-All","Movie",2018,"FRA","Comedy",6.6,3.3,"tt7305366",99,6.6,346,"FRA"
"125","sqm101800019m4","There Is No Place Like Home","Movie",2018,"ITA","Comedy",6,3,"tt7105944",105,6.1,1153,"ITA"
"126","sqm101800020m4","Animal","Movie",2018,"ARG","Drama",6.5,3.3,"tt7538958",112,6.3,815,"ARG"
"127","sqm101800023m4","Eternal Wave","Movie",2017,"CHN","Drama",5.5,2.8,"tt7628068",100,5.7,70,"CHN"
"128","sqm101800025m4","How Long Will I Love U","Movie",2018,"CHN","Comedy",6.5,3.3,"tt8404272",101,6.5,542,"CHN"
"129","sqm101800026m4","Omotenashi","Movie",2018,"TWN","Drama",7.4,3.7,"tt5921100",96,7,62,"JPN"
"130","sqm101800030m4","The Unity of Heroes","Movie",2018,"CHN","Martial Arts",0,0,"tt8787116",104,5.4,183,"CHN"
"131","sqm101800032m4","Detective Conan: Zero the Enforcer","Movie",2018,"JPN","Animation",7.8,3.9,"tt7880466",115,6.1,667,"JPN"
"132","sqm101800034m4","Rainbow Days","Movie",2018,"JPN","Drama",0,0,"tt7493804",109,7.4,51,"JPN"
"133","sqm101800035m4","Bhavesh Joshi Superhero","Movie",2018,"IND","Action",7.6,3.8,"tt6129302",154,7.6,3958,"IND"
"134","sqm101800036m4","Ittefaq","Movie",2017,"IND","Thriller",7.2,3.6,"tt6692354",105,7.2,7875,"IND"
"135","sqm101800037m4","Secret Superstar","Movie",2017,"IND","Family",8.1,4.1,"tt6108090",150,8,15647,"IND"
"136","sqm101800038m4","Mersal","Movie",2017,"IND","Action",8.2,4.1,"tt6485666",172,8,21638,"IND"
"137","sqm101800039m4","Dr. Nawariyan","Movie",2017,"LKA","Family",7.4,3.7,"tt7730042",120,7.1,26,"LKA"
"138","sqm101800041m4","Mayaanadhi","Movie",2017,"IND","Drama",8,4,"tt6915596",136,7.9,1483,"IND"
"139","sqm101800042m4","Sudani from Nigeria","Movie",2018,"IND","Comedy",8.6,4.3,"tt7581572",123,8.3,1669,"IND"
"140","sqm101800043m4","Tagaru","Movie",2018,"IND","Action",8.4,4.2,"tt7938336",129,8.3,794,"IND"
"141","sqm101800047m4","Go-Go Sisters","Movie",2018,"VNM","Comedy",7.7,3.9,"tt8081638",118,7.5,206,"VNM"
"142","sqm101800049m4","The Incredibles","Movie",2004,"USA","Family",8,4,"tt0317705",115,8,587923,"USA"
"143","sqm101800050m4","Megamind","Movie",2010,"USA","Family",7.3,3.7,"tt1001526",95,7.3,204004,"USA"
"144","sqm101800051m4","The Road to El Dorado","Movie",2000,"USA","Family",6.9,3.5,"tt0138749",89,6.9,73755,"USA"
"145","sqm101800052m4","Song of the Sea","Movie",2014,"IRL","Family",8.1,4.1,"tt1865505",93,8.1,42399,"IRL"
"146","sqm101800053m4","Anastasia (1997)","Movie",1997,"USA","Family",7.1,3.6,"tt0118617",94,7.1,101469,"USA"
"147","sqm101800054m4","Tarzan (1999)","Movie",1999,"USA","Family",7.2,3.6,"tt0120855",88,7.3,177674,"USA"
"148","sqm101800055m4","Hugo","Movie",2011,"USA","Drama",7.5,3.8,"tt0970179",126,7.5,281495,"USA"
"149","sqm101800057m4","Gosford Park","Movie",2001,"USA","Comedy",7.3,3.7,"tt0280707",131,7.3,72594,"GBR"
"150","sqm101800058m4","Notes on a Scandal","Movie",2006,"USA","Drama",7.4,3.7,"tt0465551",92,7.4,70453,"GBR"
"151","sqm101800059m4","Babel","Movie",2006,"USA","Drama",7.5,3.8,"tt0449467",143,7.5,270755,"FRA"
"152","sqm101800060m4","The Illusionist (2006)","Movie",2006,"USA","Drama",7.6,3.8,"tt0443543",110,7.6,334061,"USA"
"153","sqm101800061m4","The Prestige","Movie",2006,"USA","Drama",8.5,4.3,"tt0482571",130,8.5,1044100,"USA"
"154","sqm101800062m4","Moon (2009)","Movie",2009,"GBR","Action",7.9,4,"tt1182345",97,7.9,308100,"GBR"
"155","sqm101800063m4","Jurassic World","Movie",2015,"USA","Action",7,3.5,"tt0369610",124,7,529250,"USA"
"156","sqm101800064m4","Ocean's Eleven","Movie",2001,"USA","Comedy",7.8,3.9,"tt0240772",116,7.8,467862,"USA"
"157","sqm101800065m4","Now You See Me","Movie",2013,"USA","Action",7.3,3.7,"tt1670345",115,7.3,544425,"USA"
"158","sqm101800066m4","Inception","Movie",2010,"USA","Action",8.8,4.4,"tt1375666",148,8.8,1800281,"USA"
"159","sqm101800067m4","How to Steal a Million (1966)","Movie",1966,"USA","Comedy",7.6,3.8,"tt0060522",123,7.6,21768,"USA"
"160","sqm101800068m4","Singin' in the Rain (1952)","Movie",1952,"USA","Family",8.3,4.2,"tt0045152",103,8.3,192082,"USA"
"161","sqm101800069m4","The Diving Bell and the Butterfly","Movie",2007,"FRA","Drama",8,4,"tt0401383",112,8,97803,"FRA"
"162","sqm101800072m4","Holy Motors","Movie",2012,"FRA","Drama",7.1,3.6,"tt2076220",115,7.1,36228,"FRA"
